2025-11-06 22:38:56.481 | INFO     | __main__:main:65 - Setting up the TradingHub and its agents.
2025-11-07 20:10:06.124 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.123970 | Avg Spread: 0.0933 (from 72 values)
2025-11-07 20:10:06.124 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.124465 | Avg Spread: 0.0927 (from 73 values)
2025-11-07 20:10:06.125 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.124945 | Avg Spread: 0.0922 (from 74 values)
2025-11-07 20:10:06.125 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.125476 | Avg Spread: 0.0916 (from 75 values)
2025-11-07 20:10:06.126 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.125954 | Avg Spread: 0.0911 (from 76 values)
2025-11-07 20:10:06.126 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.126494 | Avg Spread: 0.0905 (from 77 values)
2025-11-07 20:10:06.127 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.126975 | Avg Spread: 0.0900 (from 78 values)
2025-11-07 20:10:06.127 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.127334 | Avg Spread: 0.0894 (from 79 values)
2025-11-07 20:10:06.127 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.127816 | Avg Spread: 0.0889 (from 80 values)
2025-11-07 20:10:06.128 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.128176 | Avg Spread: 0.0884 (from 81 values)
2025-11-07 20:10:06.128 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.128665 | Avg Spread: 0.0877 (from 82 values)
2025-11-07 20:10:06.129 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.129041 | Avg Spread: 0.0872 (from 83 values)
2025-11-07 20:10:06.129 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.129419 | Avg Spread: 0.0867 (from 84 values)
2025-11-07 20:10:06.129 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.129792 | Avg Spread: 0.0860 (from 85 values)
2025-11-07 20:10:06.130 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.130246 | Avg Spread: 0.0856 (from 86 values)
2025-11-07 20:10:06.130 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.130716 | Avg Spread: 0.0852 (from 87 values)
2025-11-07 20:10:06.131 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.131096 | Avg Spread: 0.0847 (from 88 values)
2025-11-07 20:10:06.131 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.131494 | Avg Spread: 0.0840 (from 89 values)
2025-11-07 20:10:06.132 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.131914 | Avg Spread: 0.0836 (from 90 values)
2025-11-07 20:10:06.132 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.132668 | Avg Spread: 0.0831 (from 91 values)
